base_mu_p,rho,char_height_px,n_pairs,paired_cov_char_acc,paired_corr_char_acc,paired_mean_delta,paired_std_delta,paired_win_rate,paired_tie_rate
38,0.4,8,50,0.00805159009314653,0.08227119201596232,0.07999999999999997,0.42476180650787887,0.52,0.28
38,0.5,8,50,0.021869556435981225,0.19981719903564288,0.07272730000000001,0.41859498823131835,0.48,0.28
38,0.6,8,50,0.013497133911660407,0.15447340023763118,0.13939397999999997,0.38970673973624925,0.52,0.2
38,0.7,8,50,-0.004542644758532244,-0.11338950860363324,0.0866667,0.3219808397475552,0.56,0.1
38,0.8,8,50,0.0013298084166342866,0.2505179719663665,0.01575758,0.1170017053305146,0.42,0.22
38,0.9,8,50,0.0007938376724571433,0.10730431809047386,0.0006060399999999943,0.12863625643904378,0.5,0.04
38,1.0,8,50,-1.2368559060000375e-05,-0.003980740503358335,0.019393920000000005,0.08093262033518994,0.54,0.16
45,0.1,8,50,0.0009632483873999998,0.13961617083482034,0.09878777999999999,0.11515628222732793,0.78,0.14
45,0.2,8,50,0.009775301455375508,0.20135229736853172,0.010909480000000004,0.2910276858269772,0.52,0.18
45,0.3,8,50,0.008760706922657551,0.10330494016734876,-0.023636400000000002,0.39240439245612063,0.5,0.18
45,0.4,8,50,-0.005197805859710207,-0.05008933472474972,-0.07090916,0.46831806993774944,0.38,0.22
45,0.5,8,50,0.026414443406238365,0.2562113686792438,0.07878788,0.3917212441708006,0.54,0.26
45,0.6,8,50,-0.0014977253421028548,-0.04976637528538402,0.11818181999999998,0.2838883933911202,0.64,0.16
